Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2012-BLG-0608,BLG510.31,122866,17:55:46.57,-34:49:10.9,2456057.989,2012-05-10.49,12.203,0.924,1.402,0.367,1.0,18.926,18.926,268.94404166666664,-34.81969444444445
2012-BLG-0609,BLG535.09,118521,17:53:39.06,-32:35:57.0,2456067.421,2012-05-19.92,26.05,0.558,1.996,0.751,1.0,18.834,18.834,268.41274999999996,-32.59916666666667
2012-BLG-0610,BLG588.26,37314,18:11:18.19,-32:28:03.4,2456052.019,2012-05-04.52,18.305,0.452,2.377,0.94,1.0,19.695,19.695,272.82579166666665,-32.46761111111111
2012-BLG-0611,BLG615.14,78399,17:22:50.35,-29:55:59.9,2456055.002,2012-05-07.50,9.766,0.359,2.915,1.162,1.0,19.825,19.825,260.70979166666666,-29.933305555555556
2012-BLG-0612,BLG630.04,48752,17:45:32.70,-21:25:55.0,2456066.213,2012-05-18.71,59.453,0.109,9.19,2.408,0.195,19.425,21.199,266.38624999999996,-21.431944444444447
2012-BLG-0613,BLG519.08,72555,18:11:23.47,-28:03:19.7,2456059.44,2012-05-11.94,33.188,0.139,7.269,2.154,0.044,17.335,20.718,272.84779166666664,-28.055472222222225
2012-BLG-0614,BLG500.10,193129,17:53:08.02,-28:40:04.3,2456065.045,2012-05-17.55,7.335,1.591,1.114,0.118,1.0,15.872,15.872,268.28341666666665,-28.66786111111111
2012-BLG-0615,BLG505.02,5269,17:59:12.64,-29:47:21.1,2456060.507,2012-05-13.01,4.409,0.457,2.356,0.93,0.212,14.412,16.094,269.80266666666665,-29.789194444444448
2012-BLG-0616,BLG511.14,49990,18:01:37.75,-27:38:07.7,2456136.568,2012-07-28.07,238.568,0.202,5.019,1.752,0.136,18.683,20.847,270.4072916666666,-27.635472222222223
2012-BLG-0617,BLG534.08,73436,17:54:53.87,-31:08:19.1,2456068.603,2012-05-21.10,23.272,0.002,656.2,7.043,0.33,18.554,19.757,268.7244583333333,-31.138638888888888
2012-BLG-0618,BLG612.14,66897,17:28:28.04,-28:06:04.7,2456021.26,2012-04-03.76,191.505,1.632,1.107,0.11,1.0,17.29,17.29,262.11683333333326,-28.101305555555555
2012-BLG-0619,BLG612.16,41364,17:27:22.67,-28:04:22.3,2456075.226,2012-05-27.73,46.126,0.439,2.44,0.969,1.0,19.184,19.184,261.8444583333333,-28.07286111111111
2012-BLG-0620,BLG654.12,6390,17:35:49.12,-30:01:19.0,2456071.717,2012-05-24.22,21.619,0.079,12.706,2.76,1.0,18.785,18.785,263.95466666666664,-30.021944444444443
2012-BLG-0621,BLG654.23,73996,17:34:03.92,-29:41:49.0,2456056.666,2012-05-09.17,10.998,1.355,1.172,0.172,1.0,17.397,17.397,263.51633333333325,-29.696944444444444
2012-BLG-0622,BLG500.11,144034,17:52:29.32,-28:52:41.5,2456059.893,2012-05-12.39,12.651,0.169,5.971,1.94,0.279,20.284,21.669,268.12216666666666,-28.878194444444446
2012-BLG-0623,BLG504.13,192446,17:56:36.62,-28:08:47.9,2456057.503,2012-05-10.00,65.267,0.114,8.809,2.362,0.031,18.433,22.208,269.1525833333333,-28.146638888888887
2012-BLG-0624,BLG504.22,13751,17:57:03.63,-27:54:50.2,2456057.77,2012-05-10.27,9.903,0.044,22.618,3.386,0.119,19.809,22.118,269.26512499999995,-27.913944444444443
